,0,1,2,3,4,5
1115,2020-03-06 13:15:00,138.15644,138.79,138.066,138.264,942515
1114,2020-03-06 13:30:00,138.28428,139.55,138.13,138.85098,1416240
1113,2020-03-06 13:45:00,138.86916,139.25142,138.378,138.7,1434650
1112,2020-03-06 14:00:00,138.65142,138.726,137.614,137.736,1333110
1111,2020-03-06 14:15:00,137.75064,138.138,137.4,137.78,1120925
1110,2020-03-06 14:30:00,137.734,138.466,137.576,137.94,939555
1109,2020-03-06 14:45:00,137.97,138.192,137.456,137.853,1063805
1108,2020-03-06 15:00:00,137.858,138.51036,137.692,138.154,1140230
1107,2020-03-06 15:15:00,138.154,139.178,137.886,138.60122,1980050
1106,2020-03-06 15:30:00,138.636,139.93,138.605,139.176,2373185
1105,2020-03-06 15:45:00,139.196,140.378,138.866,140.3544,2866195
1104,2020-03-06 16:00:00,140.22742,141.4,140.0518,140.678,4697485
1103,2020-03-06 16:15:00,140.696,140.696,140.0,140.35,246760
1102,2020-03-06 16:30:00,140.38,140.696,140.05,140.076,79195
1101,2020-03-06 16:45:00,140.05,140.096,139.6,139.844,80730
1100,2020-03-06 17:00:00,139.9,140.068,139.866,140.004,57890
1099,2020-03-06 17:15:00,139.996,140.696,139.95,140.00996,66150
1098,2020-03-06 17:30:00,140.01198,140.19,139.97,140.032,30055
1097,2020-03-06 17:45:00,140.168,140.2,139.8,139.8,29700
1096,2020-03-06 18:00:00,139.85,139.85,139.702,139.702,31460
1095,2020-03-06 18:15:00,139.704,139.704,139.446,139.446,17920
1094,2020-03-06 18:30:00,139.74,139.84,139.6,139.6,19610
1093,2020-03-06 18:45:00,139.626,139.654,139.6,139.6,5105
1092,2020-03-06 19:00:00,139.6,139.6,139.55002,139.6,2480
1091,2020-03-06 19:15:00,139.48,139.48,138.892,138.892,13105
1090,2020-03-06 19:30:00,139.0,139.0,138.4,138.4,25810
1089,2020-03-06 19:45:00,138.8,138.8,138.404,138.404,20340
1088,2020-03-06 20:00:00,138.5,138.972,138.15,138.15,31265
1087,2020-03-09 04:15:00,130.934,130.934,125.0,126.256,174460
1086,2020-03-09 04:30:00,126.664,127.4,125.204,125.502,72830
